	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
306	M17	12600.0	7.0	2.1879481360166325e-05	19.0	0.9626666666666667	33	59400.0
307	M18	12600.0	7.0	1.5005278263438666e-05	15.0	0.8806666666666666	48	86400.0
308	M19	12600.0	7.0	6.839284862648193e-06	18.0	0.778	46	82800.0
309	M20	14400.0	8.0	6.492583750816641e-06	19.0	0.83	47	84600.0
310	M21	10800.0	6.0	4.308335932420732e-05	14.0	0.9253333333333332	37	66600.0
311	M22	14400.0	8.0	6.698784277127754e-06	18.0	0.8353333333333333	48	86400.0
312	M23	14400.0	8.0	1.465285508031433e-05	13.0	0.40700000000000003	22	39600.0
313	M24	16200.0	9.0	1.6409265712367868e-05	18.0	1.0896666666666668	48	86400.0
314	N1	16200.0	9.0	1.3673401423542679e-05	19.0	0.9186666666666667	48	86400.0
315	N2	28800.0	16.0	8.341743989976528e-06	20.0	0.8626666666666667	48	86400.0
316	N3	14400.0	8.0	7.705130798842628e-06	17.0	0.791	48	86400.0
317	N4	14400.0	8.0	1.1055023416149137e-05	15.0	0.8816666666666667	42	75600.0
318	N5	14400.0	8.0	9.366899456126687e-06	16.0	0.8396666666666667	48	86400.0
319	N6	14400.0	8.0	7.09089512754424e-06	19.0	0.8649999999999999	48	86400.0
320	N7	12600.0	7.0	7.736172231695447e-06	15.0	1.1446666666666665	32	57600.0
321	N8	14400.0	8.0	4.236916135370961e-05	10.0	0.8689999999999999	45	81000.0
